ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
GLD,1676,719,0.5043,0.4973,-0.0045,0.602,0.398,0.0069,2022-02-18,2024-12-30
JOE,1690,725,0.6681,0.5734,0.1136,0.724,0.276,0.0947,2022-03-11,2025-01-30
QQQ,1676,719,0.6191,0.5965,0.1568,0.673,0.327,0.0227,2022-02-18,2024-12-30
SPY,1676,719,0.6529,0.6394,0.229,0.658,0.342,0.0135,2022-02-18,2024-12-30
TLT,1677,719,0.5024,0.4899,-0.0154,0.734,0.266,0.0124,2022-02-22,2024-12-31
