pattern_name,total_trades,win_rate,total_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,profit_factor,equity_final,passed_filter,filter_reasons,equity_curve
Market Structure Low,3,0.0,4.130826082258122,0.9419415097451522,1.3534578112716742,-1.9452019438512158,0.0,104130.82608225812,False,['Insufficient trades (3 < 5)'],"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100059.6562426207, 100105.24776483749, 99855.7153856871, 100144.46739984726, 100356.25560785507, 100649.4231188414, 100432.2451098082, 100308.70146967148, 100571.47255731796, 100348.9016344664, 100174.37355829452, 100220.95027948593, 100455.77782465194, 100446.4581225035, 100512.15361810898, 100232.71508051132, 100182.70806146835, 99782.17876459335, 99755.21263910507, 99859.14568353866, 99649.32164789413, 99715.5058519957, 99643.4384691832, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99491.2669163472, 99553.90218497739, 99219.25826407895, 99271.42556144224, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99099.16360977717, 99088.78127641586, 98981.56570024398, 99004.22774858383, 99172.02605791, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 98898.1109775979, 99137.3644733714, 99107.15109446515, 99219.60879710187, 99210.79699900617, 99224.64654734601, 99151.20877268781, 99040.43206980695, 99216.67328074445, 99465.92971995343, 99508.73419383039, 99567.89724925031, 99590.14129832257, 99700.92062571515, 99674.90384104718, 99836.87820628156, 99820.93560984601, 99484.81570628156, 99750.01999094953, 99966.12491038312, 99890.59277537336, 99950.598299055, 100123.4866962718, 100132.7184162425, 100253.57061961164, 100244.33758738507, 99954.79226878156, 100143.20858958234, 100287.56067088117, 100182.6536884593, 100067.25522044172, 100086.13858225812, 100517.93243601789, 100532.62182810773, 100454.57147410382, 100494.01394846906, 100465.90149119367, 100542.27215769757, 100742.43054392804, 100719.35321238507, 100504.5041218089, 100612.34924509992, 100824.68274119367, 100695.0161152171, 100676.55005076398, 100907.34698679914, 100873.35824778547, 100830.55508616437, 100682.17700388898, 100809.71908762922, 100929.68683054914, 101130.46985056867, 101202.86700633039, 101161.19894602765, 101100.58059885968, 101060.17099192609, 101243.69784739484, 101239.48813059797, 101201.18338206281, 101061.43731883039, 101085.42666819562, 100818.55975535382, 101044.17721751203, 101056.3851337718, 101081.64212229718, 100862.75653269757, 101026.07727244367, 100725.11401560773, 100455.71838572492, 100416.9924030589, 100291.55386546125, 100248.19955637922, 100064.67270091047, 100256.6176777171, 100506.22842600812, 100496.1253681468, 100415.30877879132, 100616.09179881086, 100691.85882761945, 100351.74704173078, 100283.13574412336, 100480.13028147687, 100743.63257029523, 100965.88540843, 100989.88000681867, 100991.97961619367, 101117.41684153547, 101145.62378123273, 101148.56717112531, 101249.16732981672, 101521.93808176984, 101476.05111887922, 101508.04129221906, 101533.71689036359, 101588.43795969953, 101524.03769114484, 101361.13687327375, 101507.62399485578, 101523.19522288312, 101367.03152659406, 101220.1284199046, 101420.48758128156, 101438.58883860578, 101463.42459300031, 101727.77066233625, 101727.34811594953, 101699.98758128156, 101769.43741038312, 101823.74118235578, 102009.36764719953, 102055.25723460187, 102069.14352610578, 102250.98544505109, 102309.49106028547, 102246.77835276593, 102215.90884593, 102141.16275218, 102229.41983225812, 102258.13723948468, 102294.45260813703, 102203.65762522687, 102250.9591999339, 102405.93661692609, 102509.39749339093, 102643.6832599925, 102670.71048167218, 102693.5148639964, 102925.77627757062, 102721.38455393781, 102869.60647776593, 102934.64450266828, 103075.26059153547, 102740.80856516828, 102560.06631663312, 102405.09152415265, 102644.10580637922, 102607.36789134015, 102077.39236643781, 101958.30514719953, 102212.94839671125, 102226.46463206281, 102109.91269114484, 102481.94247630109, 102152.56363108625, 101725.62906077375, 101070.23861887922, 101271.66989329328, 101124.29306223859, 101630.61648753156, 101729.4293537425, 101741.25277903547, 102111.59762766828, 102183.81106760968, 102577.38546946515, 102629.74972727765, 102853.5602131175, 102815.13211253156, 102896.2111530589, 102710.40359690656, 102959.97891428937, 102903.38919260968, 102935.906892805, 102798.2433796214, 102800.35086253156, 103025.42898753156, 102535.57699778547, 102487.86075022687, 102431.27102854718, 102040.65445139875, 102296.14016917218, 102396.64584544172, 102634.39511301984, 102831.60354807843, 102954.91098216047, 102989.96396067609, 102999.67202952375, 102929.15402415265, 103333.70413401593, 103292.02163889875, 103352.17019846906, 103421.21585276593, 103367.84115794172, 103463.57284739484, 103428.41488841047, 103525.41421702375, 103307.6925983714, 103317.85733225812, 103273.80752757062, 103492.37686350812, 103272.95981028547, 103500.42361643781, 103668.58920481672, 103625.80703928937, 103771.94247630109, 103972.7228718089, 103780.41440012922, 103887.1559162425, 103889.27652171125, 103984.16049387922, 103943.49368479718, 103930.36325266828, 103704.58963206281, 103757.53915598859, 103749.06460764875, 103824.89200022687, 103864.70846751203, 103790.15921214093, 103308.54031565656, 103410.20077708234, 103358.10159495343, 103649.94992259015, 104257.36953928937, 104450.94565012922, 104560.23294260968, 104584.37582591047, 104505.58798411359, 104517.87332346906, 104355.21658518781, 104033.29397776593, 104134.95443919172, 104226.02499583234, 104234.49429514875, 104368.76956370343, 104446.71231272687, 104532.27664378156, 104664.43393137922, 104587.33889964093, 104744.91458323468, 104790.6598224925, 104802.51999094953, 104961.36331370343, 104919.00369456281, 104967.72250559797, 104835.13742259015, 104755.50711253156, 104952.89401438703, 104820.31418040265, 104815.22787669172, 104924.51254466047, 104818.61874583234, 104055.74405100812, 104048.11721995343, 104346.30899241437, 104496.75912669172, 104777.68948557843, 104779.39016917218, 104510.35934641828, 104221.77591135968, 104130.82608225812]"
Matching Lows,1,0.0,-0.46692921285418565,-0.7838362552996071,-0.7818351634608417,-0.46692921285418354,0.0,99533.07078714581,False,['Insufficient trades (1 < 5)'],"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 99953.52710038067, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581, 99533.07078714581]"
NR7ID,12,0.0,-1.6044560143677227,-1.324077381279285,-1.4398842881647544,-1.6672546598217264,0.0,98395.54398563228,False,"['Win rate CI too wide (24.2% > 20%)', 'Low Sharpe (-1.324 < -1.0)']","[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100063.86341115236, 99722.6578447461, 99775.84803029298, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99600.20839330115, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99560.53706097239, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99521.16124756739, 99537.5767811725, 99591.61990251039, 99594.66998185609, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99428.94765987006, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99221.02924656321, 99256.98869982977, 99271.29912463446, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99091.83504584628, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 99052.94871737024, 98936.60533835625, 99042.23213889336, 99017.4254372332, 99171.86611106133, 99156.66503073907, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98816.8451811598, 98797.88827632557, 98979.42727779041, 98958.49667476307, 98659.53632880787, 98659.53632880787, 98659.53632880787, 98659.53632880787, 98659.53632880787, 98659.53632880787, 98659.53632880787, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98525.50705615048, 98624.44362447788, 98783.20021627475, 98631.14235494663, 98715.54262350131, 98717.21938131381, 98792.24391744663, 98760.08876607944, 98749.706563931, 98434.38540145912, 98434.38540145912, 98434.38540145912, 98434.38540145912, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228, 98395.54398563228]"
