category,regime,n_samples,pct_positive,rank_ic,hit_rate,auc,mean_prediction,performance
ADX,Trending,1921,0.285,0.2296,0.715,0.6469,0.3269,STRONG
ADX,Ranging,556,0.295,0.1788,0.705,0.6132,0.33,STRONG
ADX,Transition,351,0.311,0.202,0.689,0.6261,0.3308,STRONG
Direction,Bull (SPY 20d > 0),1524,0.293,0.197,0.707,0.625,0.3213,STRONG
Direction,Bear (SPY 20d < 0),1282,0.289,0.2611,0.711,0.6663,0.3362,STRONG
Volatility,Normal Vol,1521,0.295,0.216,0.705,0.6368,0.329,STRONG
Volatility,Low Vol,552,0.346,0.1682,0.654,0.6021,0.3403,STRONG
Volatility,High Vol,511,0.254,0.217,0.746,0.6439,0.314,STRONG
Year,2020,253,0.391,0.3978,0.609,0.7353,0.3304,STRONG
Year,2015,252,0.214,0.1514,0.786,0.6065,0.3273,STRONG
Year,2016,252,0.298,0.3638,0.702,0.7297,0.3273,STRONG
Year,2019,252,0.341,0.3861,0.659,0.7351,0.3265,STRONG
Year,2021,252,0.306,-0.0241,0.694,0.4849,0.3339,ANTI-SIGNAL
Year,2024,252,0.238,0.0008,0.762,0.5005,0.3321,NOISE
Year,2017,251,0.231,0.4643,0.769,0.8179,0.3291,STRONG
Year,2018,251,0.239,0.3847,0.761,0.7604,0.3244,STRONG
Year,2022,251,0.283,0.0345,0.717,0.5221,0.3385,WEAK
Year,2023,250,0.292,0.1901,0.708,0.6207,0.3185,STRONG
Year,2025,250,0.308,0.1366,0.692,0.5854,0.3263,STRONG
Year,2026,88,0.375,0.1649,0.625,0.5983,0.3135,STRONG
