ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
GLD,1676,719,0.5074,0.5348,0.059,0.602,0.398,-0.0273,2022-02-18,2024-12-30
KODK,1690,725,0.5348,0.5189,0.0301,0.694,0.306,0.016,2022-03-11,2025-01-30
QQQ,1676,719,0.3527,0.3802,-0.1946,0.673,0.327,-0.0275,2022-02-18,2024-12-30
SPY,1676,719,0.3562,0.3984,-0.167,0.658,0.342,-0.0422,2022-02-18,2024-12-30
XLK,1690,725,0.3428,0.37,-0.2136,0.658,0.342,-0.0272,2022-03-11,2025-01-30
