ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
AVB,2808,1204,0.585,0.6166,0.1773,0.692,0.261,-0.0315,2021-07-23,2026-05-08
BMY,2808,1204,0.5516,0.5266,0.0413,0.636,0.277,0.025,2021-07-23,2026-05-08
CRVL,1927,827,0.5396,0.5281,0.0435,0.695,0.276,0.0115,2023-01-23,2026-05-08
CSX,2808,1204,0.5969,0.5228,0.036,0.65,0.297,0.0742,2021-07-23,2026-05-08
D,2808,1204,0.5834,0.5887,0.1371,0.722,0.274,-0.0053,2021-07-23,2026-05-08
EEM,1865,800,0.5524,0.5561,0.0946,0.583,0.385,-0.0037,2022-10-21,2025-12-30
EOG,2808,1204,0.5675,0.5374,0.0607,0.656,0.326,0.0301,2021-07-23,2026-05-08
GLD,1690,725,0.5448,0.493,-0.0119,0.53,0.401,0.0518,2022-02-10,2024-12-30
HIFS,1927,827,0.5349,0.5186,0.0291,0.71,0.285,0.0163,2023-01-23,2026-05-08
IWM,1865,800,0.5628,0.5912,0.1419,0.679,0.28,-0.0284,2022-10-21,2025-12-30
JOE,1927,827,0.5351,0.5211,0.0329,0.695,0.281,0.014,2023-01-23,2026-05-08
KO,2808,1204,0.6065,0.5383,0.0597,0.607,0.282,0.0682,2021-07-23,2026-05-08
KODK,1927,827,0.5371,0.5828,0.1331,0.693,0.313,-0.0458,2023-01-23,2026-05-08
NEM,2808,1204,0.5345,0.4966,-0.0056,0.641,0.339,0.038,2021-07-23,2026-05-08
NSC,2808,1204,0.6065,0.5357,0.0564,0.67,0.294,0.0708,2021-07-23,2026-05-08
OXY,2808,1204,0.531,0.5084,0.0134,0.659,0.31,0.0226,2021-07-23,2026-05-08
PEG,2808,1204,0.572,0.5558,0.0874,0.694,0.286,0.0162,2021-07-23,2026-05-08
PEP,2808,1204,0.5879,0.5541,0.0834,0.666,0.272,0.0338,2021-07-23,2026-05-08
PSA,2808,1204,0.5728,0.5385,0.0613,0.681,0.303,0.0343,2021-07-23,2026-05-08
QQQ,1690,725,0.6017,0.6069,0.1733,0.679,0.324,-0.0052,2022-02-10,2024-12-30
REGN,2808,1204,0.5411,0.5449,0.0695,0.699,0.276,-0.0038,2021-07-23,2026-05-08
SO,2808,1204,0.5907,0.5844,0.1315,0.679,0.282,0.0062,2021-07-23,2026-05-08
SPG,2808,1204,0.5874,0.5468,0.0746,0.693,0.303,0.0406,2021-07-23,2026-05-08
SPY,1690,725,0.6203,0.6206,0.1978,0.63,0.339,-0.0003,2022-02-10,2024-12-30
SRE,2808,1204,0.5981,0.545,0.0701,0.694,0.282,0.0531,2021-07-23,2026-05-08
TLT,1691,725,0.5473,0.501,0.0016,0.581,0.266,0.0463,2022-02-11,2024-12-31
UNP,2808,1204,0.596,0.5904,0.1399,0.697,0.275,0.0055,2021-07-23,2026-05-08
VRTX,2808,1204,0.5719,0.5502,0.0781,0.681,0.281,0.0217,2021-07-23,2026-05-08
WMT,2808,1204,0.551,0.5906,0.1472,0.664,0.326,-0.0396,2021-07-23,2026-05-08
XLE,1865,800,0.5182,0.6429,0.2266,0.694,0.299,-0.1248,2022-10-21,2025-12-30
XLF,1865,800,0.5781,0.5662,0.1084,0.629,0.338,0.0119,2022-10-21,2025-12-30
XLK,1865,800,0.5998,0.6246,0.2034,0.676,0.333,-0.0248,2022-10-21,2025-12-30
XLV,1865,800,0.611,0.5585,0.0945,0.583,0.32,0.0525,2022-10-21,2025-12-30
