ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
GLD,1690,725,0.4995,0.4677,-0.0548,0.599,0.401,0.0318,2022-02-10,2024-12-30
KODK,1927,827,0.4658,0.5001,0.0001,0.687,0.313,-0.0343,2023-01-23,2026-05-08
QQQ,1690,725,0.6314,0.6337,0.2169,0.676,0.324,-0.0023,2022-02-10,2024-12-30
SPY,1690,725,0.6253,0.6054,0.1729,0.661,0.339,0.0199,2022-02-10,2024-12-30
XLK,1865,800,0.6352,0.6526,0.249,0.667,0.333,-0.0173,2022-10-21,2025-12-30
