category,regime,n_samples,pct_positive,rank_ic,hit_rate,auc,mean_prediction,performance
ADX,Trending,1832,0.334,0.1816,0.666,0.6112,0.3592,STRONG
ADX,Ranging,587,0.291,0.0791,0.709,0.5502,0.3573,STRONG
ADX,Transition,409,0.284,0.0163,0.716,0.5104,0.3566,WEAK
Direction,Bull (SPY 20d > 0),1944,0.322,0.1483,0.678,0.5916,0.3596,STRONG
Direction,Bear (SPY 20d < 0),889,0.307,0.1731,0.693,0.6083,0.3558,STRONG
Volatility,Normal Vol,1350,0.329,0.12,0.671,0.5737,0.3588,STRONG
Volatility,Low Vol,756,0.357,0.1349,0.643,0.5812,0.3614,STRONG
Volatility,High Vol,478,0.274,0.1233,0.726,0.5798,0.3546,STRONG
Year,2020,253,0.352,0.1695,0.648,0.6025,0.3597,STRONG
Year,2015,252,0.222,0.1517,0.778,0.6053,0.3551,STRONG
Year,2016,252,0.226,0.1826,0.774,0.626,0.3559,STRONG
Year,2019,252,0.377,0.1368,0.623,0.5815,0.3581,STRONG
Year,2021,252,0.337,0.1499,0.663,0.5915,0.362,STRONG
Year,2017,251,0.402,0.197,0.598,0.616,0.3578,STRONG
Year,2018,251,0.315,0.3286,0.685,0.7042,0.3568,STRONG
Year,2022,251,0.251,0.0306,0.749,0.5203,0.3543,WEAK
Year,2024,251,0.375,0.0528,0.625,0.5315,0.3629,STRONG
Year,2023,250,0.368,0.0506,0.632,0.5303,0.3602,STRONG
Year,2025,250,0.272,0.2388,0.728,0.6549,0.3598,STRONG
Year,2026,89,0.258,-0.031,0.742,0.4796,0.3589,ANTI-SIGNAL
