ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
EEM,1676,719,0.5401,0.5406,0.0663,0.662,0.334,-0.0005,2022-02-18,2024-12-30
GLD,1676,719,0.5243,0.5021,0.0035,0.586,0.398,0.0222,2022-02-18,2024-12-30
IWM,1676,719,0.5783,0.6049,0.1634,0.695,0.281,-0.0266,2022-02-18,2024-12-30
JOE,1676,719,0.6153,0.4931,-0.0107,0.707,0.275,0.1222,2022-02-18,2024-12-30
KODK,1676,719,0.6192,0.6948,0.309,0.707,0.299,-0.0756,2022-02-18,2024-12-30
QQQ,1676,719,0.6286,0.6515,0.2462,0.682,0.327,-0.0229,2022-02-18,2024-12-30
SPY,1676,719,0.641,0.6521,0.2499,0.644,0.342,-0.0111,2022-02-18,2024-12-30
TLT,1676,719,0.5311,0.5047,0.0073,0.702,0.266,0.0263,2022-02-18,2024-12-30
XLE,1676,719,0.5163,0.5471,0.0764,0.676,0.324,-0.0308,2022-02-18,2024-12-30
XLF,1676,719,0.559,0.5247,0.0404,0.655,0.332,0.0343,2022-02-18,2024-12-30
XLK,1676,719,0.6211,0.628,0.209,0.686,0.334,-0.0068,2022-02-18,2024-12-30
XLV,1676,719,0.6026,0.5124,0.0198,0.659,0.302,0.0902,2022-02-18,2024-12-30
