Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,1.0291267720750858,1.051911875680347,1.0291267720750858,1.0329241752624512,62775,0.0,0.0
1980-03-18,1.0329239984590015,1.0481140975234546,1.0329239984590015,1.0405189990997314,64125,0.0,0.0
1980-03-19,1.0481141227876472,1.0595067218063472,1.0481141227876472,1.0557091236114502,40500,0.0,0.0
1980-03-20,1.0557090617342357,1.0557090617342357,1.044316658949258,1.0481140613555908,18900,0.0,0.0
1980-03-21,1.0481137763459145,1.0708987712860107,1.0481137763459145,1.0708987712860107,97200,0.0,0.0
1980-03-24,1.063304052427624,1.063304052427624,1.0443166494369507,1.0443166494369507,90450,0.0,0.0
1980-03-25,1.0443166949860827,1.0481140975234546,1.0367215965623597,1.0405189990997314,72225,0.0,0.0
1980-03-26,1.040518963193956,1.0557090617342357,1.032923962815311,1.0481140613555908,31725,0.0,0.0
1980-03-27,1.0443166949860827,1.0443166949860827,1.0101389965368115,1.0405189990997314,62100,0.0,0.0
1980-03-28,1.0405190478463386,1.0405190478463386,1.0101390438601656,1.0291266441345215,84375,0.0,0.0
1980-03-31,1.0405187241699885,1.063303817854809,1.0405187241699885,1.0595064163208008,55350,0.0,0.0
1980-04-01,1.0595066597065481,1.0784941606531606,1.040518963193956,1.0481140613555908,126225,0.0,0.0
1980-04-02,1.0557086880445246,1.08608877658844,1.0557086880445246,1.08608877658844,58725,0.0,0.0
1980-04-03,1.1088745125301267,1.1392548169927026,1.1088745125301267,1.1278622150421143,311175,0.0,0.0
1980-04-07,1.1278615636503178,1.1544442535879609,1.1240639666713943,1.1354565620422363,115425,0.0,0.0
1980-04-08,1.1278622236963303,1.1278622236963303,1.1164696216583252,1.1164696216583252,218025,0.0,0.0
1980-04-09,1.1088744998380533,1.1088744998380533,1.078494489072266,1.1012794971466064,181575,0.0,0.0
1980-04-10,1.101279109245217,1.1316594026592712,1.101279109245217,1.1240642070770264,191700,0.0,0.0
1980-04-11,1.1240642070770264,1.1468495004748058,1.120266804851874,1.1240642070770264,112050,0.0,0.0
1980-04-14,1.1240652738710721,1.1240652738710721,1.1126728608176766,1.1202678680419922,18900,0.0,0.0
1980-04-15,1.1126726212669271,1.1126726212669271,1.0936849117279053,1.0936849117279053,63450,0.0,0.0
1980-04-16,1.1012791560373707,1.1126718521118164,1.1012791560373707,1.1126718521118164,30375,0.0,0.0
1980-04-17,1.105077517894707,1.105077517894707,1.0898875067163805,1.0936849117279053,43875,0.0,0.0
1980-04-18,1.0936837742786798,1.105076368596995,1.08608877658844,1.08608877658844,27675,0.0,0.0
1980-04-21,1.0822915100056212,1.0822915100056212,1.048113820586907,1.0595064163208008,83700,0.0,0.0
1980-04-22,1.0595073865766702,1.0936849117279053,1.0481147804098685,1.0936849117279053,122850,0.0,0.0
1980-04-23,1.0936849117279053,1.0936849117279053,1.0671023921658336,1.0936849117279053,132300,0.0,0.0
1980-04-24,1.0936837742786798,1.0936837742786798,1.0708986834250047,1.08608877658844,209250,0.0,0.0
1980-04-25,1.0822914643219852,1.0822914643219852,1.067101369912291,1.0708987712860107,21600,0.0,0.0
1980-04-28,1.082292501127217,1.1012799173170686,1.082292501127217,1.0936849117279053,141750,0.0,0.0
1980-04-29,1.0936842485345541,1.1012792495182253,1.089886845825716,1.0974818468093872,45225,0.0,0.0
1980-04-30,1.0974826244745661,1.112672734988466,1.0860900171433745,1.108875036239624,85050,0.0,0.0
1980-05-01,1.1126722094853572,1.1354572178204927,1.1126722094853572,1.1278622150421143,48600,0.0,0.0
1980-05-02,1.1278625606125565,1.146850268942266,1.120267555507113,1.139255166053772,49950,0.0,0.0
1980-05-05,1.154444378925741,1.2000144720077515,1.154444378925741,1.2000144720077515,621675,0.0,0.0
1980-05-06,1.2000141689789985,1.2227992586577778,1.181026577949524,1.181026577949524,143775,0.0,0.0
1980-05-07,1.1810268761835119,1.215204568223738,1.1810268761835119,1.2000144720077515,483975,0.0,0.0
1980-05-08,1.2000145384814138,1.211406940154269,1.188621941242598,1.1962169408798218,36450,0.0,0.0
1980-05-09,1.1886216402053833,1.1886216402053833,1.173431546995087,1.1886216402053833,24975,0.0,0.0
1980-05-12,1.1886217489172246,1.1886217489172246,1.1582416575010113,1.1848243474960327,27000,0.0,0.0
1980-05-13,1.184824174381779,1.1962165725467435,1.1734314828679642,1.181026577949524,40500,0.0,0.0
1980-05-14,1.1848243474960327,1.2000143443126572,1.1848243474960327,1.1848243474960327,61425,0.0,0.0
1980-05-15,1.184824174381779,1.1924191716803887,1.1734314828679642,1.181026577949524,37125,0.0,0.0
1980-05-16,1.1810270237414664,1.1810270237414664,1.1696345234933243,1.1772295236587524,11475,0.0,0.0
1980-05-19,1.17722938644574,1.2152045784126222,1.17722938644574,1.2038118839263916,51300,0.0,0.0
1980-05-20,1.2038115698453533,1.2038115698453533,1.181026577949524,1.181026577949524,85725,0.0,0.0
1980-05-21,1.1810269709303236,1.1848245686262102,1.1658368734957254,1.1734318733215332,40500,0.0,0.0
1980-05-22,1.1734316543176357,1.192419345904345,1.1620392544881317,1.1848243474960327,143775,0.0,0.0
1980-05-23,1.1886218754000177,1.2076094712242573,1.1886218754000177,1.2000144720077515,113400,0.0,0.0
1980-05-27,1.2000142345588445,1.2000142345588445,1.1886216402053833,1.1886216402053833,57375,0.0,0.0
1980-05-28,1.1924196527474615,1.2076096534729004,1.1924196527474615,1.2076096534729004,135000,0.0,0.0
1980-05-29,1.2076098902933514,1.211407293436418,1.1734321863926565,1.1924198865890503,108675,0.0,0.0
