Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-01-02,297.6989440917969,297.71728925572063,295.5546573018844,296.4801931939895,59151200
2020-01-03,295.4447021484375,296.5718391025249,294.244268433237,294.2992479953691,77709700
2020-01-06,296.5718994140625,296.65436877403187,293.5662002585836,293.68533198915986,55653900
2020-01-07,295.7380065917969,296.4802588000456,295.28896945413396,296.0037318756029,40496400
2020-01-08,297.31414794921875,298.5328990962051,295.6830220422805,295.9304301191349,68296000
2020-01-09,299.330078125,299.40340285238955,298.2945830808425,298.8810690392002,48473300
2020-01-10,298.4686584472656,300.07229409242746,298.0013322184309,299.91652800454466,53029300
2020-01-13,300.5213623046875,300.5305069215687,298.66114588168574,299.0918377611585,47086800
2020-01-14,300.0632629394531,301.13539265854723,299.50426661844074,300.0815801434285,62832800
2020-01-15,300.74127197265625,301.50184120269535,299.88906082009487,299.9715301608084,72056600
2020-01-16,303.2430114746094,303.2430114746094,301.89595605653415,302.1250469237905,54050300
2020-01-17,304.1868896484375,304.3976353658539,303.17888415689373,303.95779876241374,95846000
2020-01-21,303.5911865234375,304.39759079860585,303.1513499843944,303.22464675250427,77742400
2020-01-22,303.62786865234375,305.10322838025627,303.4721025230249,304.45259018192024,48914900
2020-01-23,303.97601318359375,304.3883878250803,301.8592163496941,302.97718061408506,51963000
2020-01-24,301.2728271484375,304.71836296389927,299.98075121763935,304.63589360217117,87578400
2020-01-27,296.4435729980469,297.92807729720744,295.6738310638596,296.0128810624095,84062500
2020-01-28,299.55010986328125,300.4298110867822,296.53526579671535,297.8731488190477,63834000
2020-01-29,299.3026123046875,301.1445117064484,299.10101123601123,300.9154208540977,53888900
2020-01-30,300.2740173339844,300.4847910291731,296.4802865769708,297.2316834744136,75491800
2020-01-31,294.8216552734375,299.80667522712497,293.9052917226155,299.6508811187989,113845600
2020-02-03,297.01171875,298.88110802964894,296.18699723301154,296.3061289566686,69083000
2020-02-04,301.5385437011719,302.4091001332266,300.31062007845776,300.6313528673828,62573200
2020-02-05,305.0206604003906,305.23143401703624,303.0138505948838,304.4800094344082,65951100
2020-02-06,306.0469970703125,306.2394255154979,304.96566722145593,305.982844933522,50359700
2020-02-07,304.4159240722656,306.056194377022,303.86610045474913,304.98406488979606,64139400
2020-02-10,306.68853759765625,306.7526897560034,303.49043784674745,303.5271002179738,42070000
2020-02-11,307.2200622558594,308.8328431375756,306.6885557198552,308.0447838834138,54864500
2020-02-12,309.1993713378906,309.41011703621217,308.29215249510275,308.6586922864908,43992700
2020-02-13,308.8695373535156,309.8408806095833,307.494991844152,307.76988975994476,54501900
2020-02-14,309.3642578125,309.4833895167541,308.0813547766656,309.2817884707523,64582200
2020-02-18,308.567138671875,309.42852273099015,307.17424804086374,308.365537552397,57226200
2020-02-19,310.04241943359375,310.7205194664191,309.25436025654744,309.53843070084963,48814700
2020-02-20,308.7686462402344,310.31730256037446,305.77212014655726,309.4925531618124,74163400
2020-02-21,305.5888977050781,307.7240122691576,304.7641482162331,307.4124520475645,113788200
2020-02-24,295.4538879394531,305.66216126608373,294.37255791706946,296.11367067972515,161088400
2020-02-25,286.5010070800781,297.460705347923,285.6213060596482,296.8467575397239,218913200
2020-02-26,285.4472351074219,291.5043845222022,284.71415548102505,287.90308261756604,194773800
2020-02-27,272.62725830078125,285.5021516671391,272.62725830078125,279.9123298627245,284353500
2020-02-28,271.4818420410156,272.97551892461485,261.6584248326628,264.55413666270186,384975800
2020-03-02,283.2387390136719,283.30289115857585,269.8323389882185,273.2687014842087,238703600
2020-03-03,275.12896728515625,287.59151643262715,272.6822924096113,283.614502212992,300139100
2020-03-04,286.6934814453125,286.91342770951513,277.9605380964338,280.5172001831721,176613400
2020-03-05,277.1632995605469,282.67065320761304,274.9182257388986,279.4725535047731,186366800
2020-03-06,272.5814514160156,273.79105782578944,265.9561618762661,268.6319273661624,228667200
2020-03-09,251.2943115234375,260.4212819322596,250.5795492859729,252.27479897630133,309417300
2020-03-10,264.29754638671875,264.38916035534675,250.62539203743287,260.8336938237853,276444100
2020-03-11,251.4134521484375,258.3595024679103,248.2245253742344,257.22322078654526,255316300
2020-03-12,227.35894775390625,244.35749341633144,226.9649041793255,234.58905518446738,392220700
2020-03-13,246.7949981689453,248.77434647333422,227.7346366084583,241.08604410630707,329566100
2020-03-16,219.78977966308594,235.41376534127508,217.50802963275152,221.0085307501589,297240000
2020-03-17,231.65667724609375,234.74483150463524,217.24228444804106,224.54568810052052,262070500
2020-03-18,219.92721557617188,227.5971727449602,208.94918598045479,216.4908528327942,327597100
2020-03-19,220.3945770263672,226.69000368455985,212.7979298783139,219.23996406752087,289322000
2020-03-20,210.8968505859375,225.34070206512823,210.62032218585884,223.5525010180808,347158800
2020-03-23,205.50460815429688,211.7079952536431,201.18158896992057,210.3345937579703,326025200
2020-03-24,224.1239776611328,224.99965325237764,215.50560549655268,216.0770871962549,235494500
2020-03-25,227.4791259765625,236.29108520985923,220.98999933781093,225.7093641659939,299430300
2020-03-26,240.76161193847656,242.23639250176075,229.56231770960696,229.99554223572162,257632800
2020-03-27,233.5903778076172,240.4021241650425,231.40583018380667,233.45212064085143,224341200
2020-03-30,241.17637634277344,241.89534169163954,233.69175549826053,235.6919554113694,171369500
2020-03-31,237.58155822753906,242.72492158244737,236.17127891009355,240.17167888160807,194881100
2020-04-01,226.8892364501953,237.49861037670934,224.8152945665013,228.57604420337796,189554600
2020-04-02,232.12481689453125,232.90829768617476,225.45132709110598,226.00438393858838,177660400
2020-04-03,228.7696533203125,233.49824603971342,226.03204848958785,231.13854887638192,135561200
2020-04-06,244.13514709472656,246.10770927805405,228.7511226999925,237.6644601459929,188061200
2020-04-07,244.3841094970703,253.50944856794666,244.16289802105632,252.75360518538102,201427200
2020-04-08,252.5876922607422,254.40354477435332,244.49471105578704,246.99265102854096,153774500
2020-04-09,256.431396484375,259.19665225611317,253.91500360542418,255.8598866626546,189999200
2020-04-13,254.09002685546875,255.7952727898817,250.17258290353655,255.4542292289239,114839100
2020-04-14,261.5838623046875,262.6069929527751,253.95176111947708,258.9937428772541,134143400
2020-04-15,256.02581787109375,261.72223788702536,253.90577161399165,255.8506827589529,121775000
2020-04-16,257.26092529296875,258.1181476901565,254.1822777488258,257.3070016297343,131798300
2020-04-17,264.2109375,264.8192689063994,260.30269091667844,263.04952128306587,146684800
2020-04-20,259.5560607910156,264.34918093759455,259.3348493819713,260.4962374090838,100109300
2020-04-21,251.67514038085938,256.28389976601466,250.73493546332134,255.0764070574748,126385700
2020-04-22,257.26092529296875,259.01224803453573,255.2422866611191,256.5696114636951,92951600
2020-04-23,257.2424621582031,261.72219022348287,256.9382964622987,258.54213548178336,104709700
2020-04-24,260.8280944824219,261.50098338829105,256.707863024315,258.7633795586813,85063200
2020-04-27,264.58880615234375,265.7133443171844,262.34895634086206,262.8098321767865,77896600
2020-04-28,263.3722229003906,268.5985412619103,263.0680289718382,268.24827098279667,105270000
2020-04-29,270.2668762207031,271.8062143248398,267.6859820618569,268.71833972539537,118745600
2020-04-30,267.7504577636719,270.36822935124303,266.00833345852305,268.8841944102313,122901700
2020-05-01,260.6622009277344,267.9163831355571,259.4915581319008,262.9850053506957,125180000
2020-05-04,261.3812561035156,261.68542192686897,257.28867442963445,258.7726818444896,80873200
2020-05-05,263.7961730957031,266.6167316014269,261.5102183039644,264.21097269404163,79569900
2020-05-06,262.0079650878906,265.88853252564763,261.57474059035235,265.5014124986934,73632600
2020-05-07,265.1695861816406,267.105270843854,264.6626338763726,265.2341155672962,75250400
2020-05-08,269.5571594238281,270.0272619493122,267.1790234909967,268.312788587313,76452400
2020-05-11,269.61248779296875,270.9951159354968,267.1975018047624,267.62149989217136,79514200
2020-05-12,264.2386169433594,271.2162571149369,264.1003316612484,270.80148565750676,95870800
2020-05-13,259.5652770996094,264.7178655832084,257.1318391773218,263.6762816905457,144721100
2020-05-14,262.6716613769531,262.80069202601,251.62906259247328,257.1227246154744,121977900
2020-05-15,263.8791809082031,263.9252572597479,259.3257234418023,260.2751269466795,111146300
2020-05-18,271.9168701171875,273.52993629584876,269.79685153423225,270.11944226625104,119703800
2020-05-19,269.1238708496094,273.032089431891,269.1054459405045,271.31764460727464,95189300
2020-05-20,273.69580078125,274.5622498678464,272.44223162680925,272.6726696151671,85861700
2020-05-21,271.80621337890625,274.3779091376315,270.70932633280484,273.56676293920657,78293900
2020-05-22,272.3224182128906,272.49755334653037,270.2761276095139,271.52049845866605,63958200
2020-05-26,275.6775817871094,278.5442451969563,272.3408439751787,278.3045806702521,88951400
2020-05-27,279.77935791015625,279.81623586309064,273.6404867746573,278.4796843331706,104817400
2020-05-28,279.26318359375,282.8303590651287,278.5902945576111,280.8117200863485,90405200
2020-05-29,280.5075378417969,281.09744441541864,276.0370356142998,278.79306472388765,119090800
2020-06-01,281.64129638671875,282.2496560477979,279.3461430382761,279.86232187865164,55758300
2020-06-02,283.9732666015625,284.0193710668149,281.2264643910876,282.5629875500493,74267200
2020-06-03,287.7525329589844,288.71116291644955,285.6878174779567,285.9643318264377,92567600
2020-06-04,286.9966125488281,288.50829892721924,284.8950196754381,286.76617461038785,75794400
2020-06-05,294.352294921875,296.13126961910496,292.34288221320156,292.40741160751935,150524700
2020-06-08,297.9101867675781,298.10374676522395,294.6195261594394,295.16335633448466,73641200
2020-06-09,295.6888122558594,297.9839655814591,294.37068560515496,295.23713467779834,77479200
2020-06-10,294.0389709472656,297.1637246109732,293.3200053096337,296.26962379356524,95000800
2020-06-11,277.08782958984375,287.72485456232124,276.5348009447045,287.088843490775,209243600
2020-06-12,280.4060974121094,284.8950240206499,275.2350834968645,284.12075591123715,194678900
2020-06-15,283.0238952636719,284.157660169738,273.52063590787077,274.70047715474163,135782700
2020-06-16,288.4714660644531,290.9417825291252,283.59541877833976,290.7942988499183,137627500
2020-06-17,287.2731628417969,289.7895553253367,286.5357445407584,289.49458800492135,83398900
2020-06-18,287.3838195800781,287.86312046362997,285.2914527967437,285.7523287681102,80828700
2020-06-19,285.7414855957031,291.0556161654006,283.78801540239226,290.86120433450185,135549600
2020-06-22,287.57452392578125,287.97261465069647,283.9916508946989,285.1396439631699,74649400
2020-06-23,288.8984375,291.16667889130184,288.4910796317382,290.2316035682341,68471200
