Date,Close,High,Low,Open,Volume
,QQQ,QQQ,QQQ,QQQ,QQQ
2020-01-02,208.5802459716797,208.5802459716797,206.47668109608105,206.88195182101686,30969400
2020-01-03,206.66964721679688,207.91442086514243,205.8012121274127,205.82051493847678,27518900
2020-01-06,208.0012664794922,208.03021333492575,204.79769178041784,205.04856943541913,21655300
2020-01-07,207.9722900390625,208.56090055536444,207.31614177760017,208.0784334017966,22139300
2020-01-08,209.5354766845703,210.49076693905388,207.6152668569054,207.94334098415996,26397300
2020-01-09,211.31100463867188,211.71627534875006,210.07588969641512,211.262754970482,23547000
2020-01-10,210.7706298828125,212.16013787981402,210.39430602726887,212.1408497914396,21898500
2020-01-13,213.2022705078125,213.23121736432708,211.30134840345303,211.63908136109868,22756900
2020-01-14,212.36276245117188,213.45314302414909,212.03468829206147,213.09610728748868,24418100
2020-01-15,212.44960021972656,213.4434814510854,211.75484628972598,212.47854707316574,25742100
2020-01-16,214.48558044433594,214.52418605899953,213.05748190006906,213.5110021681349,18805000
2020-01-17,215.5470428466797,215.7207239647326,214.33121612538972,215.45054352083037,24325200
2020-01-21,215.45059204101562,215.99095305051117,214.85233731246458,214.94882193631264,21146300
2020-01-22,216.01986694335938,217.25498184049704,215.74968647984372,216.5409397828046,20736400
2020-01-23,216.71466064453125,216.81115999507742,214.89093481958486,215.89447505982363,26496100
2020-01-24,214.89088439941406,217.95938339726447,213.89700316166594,217.7277938445321,37436500
2020-01-27,210.4522247314453,211.59084039781587,209.56447201603453,210.03729523144546,42264400
2020-01-28,213.68475341796875,214.17687946226852,211.3785604295557,211.93822423609828,26731900
2020-01-29,214.0321044921875,215.1128263468879,213.08647286932467,214.87159273834007,28924500
2020-01-30,214.79441833496094,214.89090294746305,211.98645550110226,212.6522626394122,39568100
2020-01-31,211.38821411132812,215.72076071875642,210.63555163367218,215.6918138608157,52015800
2020-02-03,214.58213806152344,215.0742493542368,212.27594520364147,212.420679488636,25408600
2020-02-04,219.4936065673828,219.86993035572252,216.77248477190417,217.5154883061186,30691200
2020-02-05,220.2173614501953,222.1761773845251,218.89540584467008,222.13758648144568,38534800
2020-02-06,222.1182403564453,222.17613406164182,219.98572896475244,220.76732343236472,22467100
2020-02-07,221.16294860839844,222.35947249500524,220.52608840792726,221.12435771309546,25884900
2020-02-10,223.83584594726562,223.84548999123973,220.3717347992263,220.4296285105335,21478900
2020-02-11,223.8743896484375,225.81391691071428,223.28577916802303,225.07091341687644,30198000
2020-02-12,226.05519104003906,226.1613344153498,224.63673626258208,225.19639999388144,24471300
2020-02-13,225.7657012939453,226.69203006669883,224.2121563309873,224.4823367833513,22773200
2020-02-14,226.4122314453125,226.6245182141058,225.36045636957525,226.12274814934602,23438500
2020-02-18,226.49905395507812,226.92362745880757,225.07095512558615,225.312188732366,24394500
2020-02-19,228.67013549804688,229.14295862462606,227.5797697072824,227.84995014426204,22230500
2020-02-20,226.54727172851562,228.64117737374295,223.7489681732989,228.1683689942028,42604000
2020-02-21,222.19546508789062,225.80431059157095,221.27878028383344,225.4183426920937,66017200
2020-02-24,213.62681579589844,216.38652863409405,212.53643526554671,213.90664027979352,84522600
2020-02-25,207.8179473876953,216.13569314341837,207.21004863899142,215.42163628252047,97743000
2020-02-26,208.8889923095703,212.55574593078725,207.36439420882164,209.11093782002146,79537700
2020-02-27,198.42910766601562,208.83109922780073,198.29401744016377,203.50465726442775,121822600
2020-02-28,198.58351135253906,199.90546682811066,191.2210568394317,191.67457720562786,148173700
