Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.06338621740036912,0.0640093348251691,0.06338621740036912,0.06374235451221466,633830,0.0,0.0
1962-01-03,0.06374238033937711,0.06374238033937711,0.060537476561424705,0.06107160076498985,6564672,0.0,0.0
1962-01-04,0.061071615359987,0.06160573969119808,0.0601813584922657,0.06044849753379822,1199750,0.0,0.0
1962-01-05,0.06018137728997065,0.06018137728997065,0.05804472074114043,0.05840085819363594,520646,0.0,0.0
1962-01-08,0.05840082092863479,0.05893494028111677,0.05822282919191285,0.05857880786061287,1380845,0.0,0.0
1962-01-09,0.058756954959487497,0.05955822289793239,0.058756954959487497,0.05884594842791557,1177114,0.0,0.0
1962-01-10,0.059023943711625976,0.06018134904875342,0.059023943711625976,0.05982521176338196,882835,0.0,0.0
1962-01-11,0.05982519741425797,0.060181334614209624,0.059291073294970506,0.06000334769487381,588557,0.0,0.0
1962-01-12,0.0600033620867273,0.0605374815293802,0.05982521176338196,0.05982521176338196,407462,0.0,0.0
1962-01-15,0.05982523764648517,0.060181375085937794,0.059113126128969816,0.059291113168001175,792288,0.0,0.0
1962-01-16,0.05893494028111677,0.05893494028111677,0.05840082092863479,0.05857880786061287,384826,0.0,0.0
1962-01-17,0.058578829172919365,0.05875697472625859,0.057154443114995956,0.057154443114995956,498010,0.0,0.0
1962-01-18,0.05715440511966062,0.05822281166911126,0.056798272806338694,0.05822281166911125,1177114,0.0,0.0
1962-01-19,0.05840085605481133,0.0596472506074538,0.05840085605481133,0.059291113168001175,633830,0.0,0.0
1962-01-22,0.059291082899072006,0.05946906984723854,0.058400826240370664,0.058756958693265915,837562,0.0,0.0
1962-01-23,0.05857884523918575,0.05857884523918575,0.05804472074114043,0.05840085819363594,928109,0.0,0.0
1962-01-24,0.058400822529223094,0.05893494189634364,0.05768854805920628,0.05884594842791557,996019,0.0,0.0
1962-01-25,0.05884594681512773,0.05884594681512773,0.05840082092863479,0.05857880786061287,611194,0.0,0.0
1962-01-26,0.058400842176185595,0.058400842176185595,0.057154443114995956,0.057154443114995956,928109,0.0,0.0
1962-01-29,0.0574216027203202,0.05857884523918575,0.0574216027203202,0.05840085819363594,747014,0.0,0.0
1962-01-30,0.0584008657185182,0.058845991946395663,0.05831187218427658,0.05831187218427658,882835,0.0,0.0
1962-01-31,0.05831188837639649,0.05911315232515335,0.05822289001269414,0.05911315232515335,814925,0.0,0.0
1962-02-01,0.05911307787164587,0.059469051659107215,0.05893492761665866,0.05946905165910721,498010,0.0,0.0
1962-02-02,0.059469051659107215,0.059469051659107215,0.05911307787164587,0.05946905165910721,430099,0.0,0.0
1962-02-05,0.05946910020703255,0.0596472506074538,0.058934975728548555,0.059291113168001175,928109,0.0,0.0
1962-02-06,0.05938006675463841,0.06000334769487381,0.05938006675463841,0.06000334769487381,1448755,0.0,0.0
1962-02-07,0.060003399771972325,0.06009239330887794,0.059558268726022434,0.060092393308877945,588557,0.0,0.0
1962-02-08,0.06009239330887794,0.06018138684578356,0.059558268726022434,0.060092393308877945,475373,0.0,0.0
1962-02-09,0.060092376005241296,0.060626495629549026,0.05982523211002688,0.060626495629549026,679104,0.0,0.0
1962-02-12,0.06053750437336096,0.06053750437336096,0.06018137175834664,0.06035935878753662,135821,0.0,0.0
1962-02-13,0.06035933105744341,0.06107160076498985,0.06018134411002363,0.06107160076498985,1222387,0.0,0.0
1962-02-14,0.06107162338772391,0.061605747789144516,0.06089363637437247,0.061605747789144516,1041293,0.0,0.0
