Date,Close,High,Low,Open,Volume
2010-01-04,68.79576110839844,70.07357589049072,68.51546982386117,69.42230307745821,3215100
2010-01-05,69.69429779052734,69.73551373347289,68.12794729711565,68.78746528054046,2493300
2010-01-06,69.11724853515625,70.1724790330151,68.92764127660777,69.52120646614325,2491000
2010-01-07,68.3670425415039,69.12548404304655,67.93011442191154,69.12548404304655,3093200
2010-01-08,70.0653076171875,70.28789772053418,68.38354158261393,69.31511166983867,4351200
2010-01-11,71.92839813232422,72.78576890493204,70.40327003157036,70.5599006617303,6131900
2010-01-12,71.37608337402344,73.10731071294948,70.56817392805452,71.2606686374038,3345100
2010-01-13,70.74954223632812,71.9943798067555,70.19719938011022,71.68110584261943,2855700
2010-01-14,71.13701629638672,71.26891617199033,70.14773892601505,70.55169683982541,2104300
2010-01-15,70.16423797607422,71.55746712222174,70.01584666885358,71.17824000072123,4369700
2010-01-19,70.81549072265625,71.11227325385121,70.0488035653411,70.0488035653411,2289200
2010-01-20,69.29862976074219,69.90868648428594,68.49072632198107,69.86746422552658,2793100
2010-01-21,67.2706069946289,69.64486778184859,67.02329235571518,69.53769244431675,2865500
2010-01-22,66.19065856933594,67.48495814050426,66.10822034810627,67.03978419830436,2551800
2010-01-25,66.52042388916016,66.95735216271136,65.25085503811243,66.95735216271136,1878500
2010-01-26,66.57810974121094,66.96557621004152,65.54761648990903,66.33078884504582,2272300
2010-01-27,66.29783630371094,66.58637326058927,64.80568354840159,66.56988813003935,3523900
2010-01-28,65.18489074707031,66.75948769308818,64.62430208168603,66.75948769308818,1974200
2010-01-29,64.59130859375,66.52863443411914,64.55009264203294,65.68775480144559,3139500
2010-02-01,66.50390625,66.55337419951115,64.92931594405354,64.97053189740976,3056600
2010-02-02,67.87244415283203,68.05381206530177,66.24838494161567,66.83370465663668,3217400
2010-02-03,67.69928741455078,68.30109195567543,66.70177069449116,67.32006664995527,2593700
2010-02-04,65.00352478027344,67.38602510462847,64.92108656319911,67.0727573638929,3830100
2010-02-05,63.22282028198242,65.33326832497141,61.96973703923424,65.00350924584656,5535300
2010-02-08,63.22282028198242,64.11316161909885,62.08515177348325,63.3299893096047,2966800
2010-02-09,65.30857849121094,65.72077602646004,63.44544387078708,63.70100432995825,4694400
2010-02-10,64.54183959960938,65.36623401581647,63.90705237693697,65.25906500597644,2196800
2010-02-11,65.56413269042969,65.77023143837629,63.84115017662077,64.61607719194842,2272800
2010-02-12,64.75619506835938,64.86336409666785,63.89882397299754,64.63253462669185,2902000
2010-02-16,65.92683410644531,66.1164413334455,65.06121730079522,65.06121730079522,2649200
2010-02-17,65.90210723876953,66.35552050119699,65.06946692027525,65.86913069956233,2484400
2010-02-18,66.03404235839844,66.2731176780577,65.43223749307951,65.6465756779036,1714300
2010-02-19,67.40251159667969,67.96310023730848,66.03401339263822,66.03401339263822,3000000
2010-02-22,67.89714050292969,68.54016729163247,67.2046457607355,67.80645659276578,2218800
2010-02-23,67.17993927001953,68.52370699498917,66.71003442419739,67.64984411584166,2217300
2010-02-24,68.49072265625,68.92765090132623,67.37779091528286,67.37779091528286,3083400
