entry_date,entry_price,prob,exit_date,exit_price,return,win,bars_held
2018-10-16,250.0262908935547,0.9843227838682076,2018-10-30,238.76434326171875,-0.045043053638829364,False,10
2018-10-31,241.314682006836,0.9398888137056454,2018-11-14,240.9312286376953,-0.0015890179824608406,False,10
2018-11-15,243.44569396972656,0.9454319426852332,2018-11-30,245.79083251953125,0.00963310753853923,True,10
2018-12-03,249.04544067382807,0.9970667720554146,2018-12-18,227.44903564453125,-0.08671672515210338,False,10
2018-12-19,224.04286193847656,0.9845254570850585,2018-12-31,224.14938354492188,0.0004754519091733614,True,8
2019-12-12,288.3969421386719,0.46805943515755044,2019-12-27,295.0514221191406,0.02307403099048474,True,10
2020-12-31,348.0575561523437,0.6322916623937879,2020-12-31,348.0575561523437,0.0,False,1
2021-10-18,420.3766784667969,0.6345173845486529,2021-11-01,432.4562377929688,0.02873508437772679,True,10
2021-11-02,434.2047424316406,0.6422782909828647,2021-11-16,441.1422424316406,0.015977485554737374,True,10
2021-11-17,440.0706176757813,0.6394331403452977,2021-12-02,429.9745178222656,-0.02294199941554359,False,10
2021-12-03,426.2332153320313,0.6361641360914531,2021-12-17,433.815185546875,0.01778831386694586,True,10
2021-12-20,429.20220947265625,0.6318039094386342,2021-12-31,448.05023193359375,0.04391408535406963,True,9
2022-10-18,354.156494140625,0.8991628651406656,2022-11-01,366.93402099609375,0.036078759155536405,True,10
2022-11-02,357.72540283203125,0.8905296176419589,2022-11-16,377.3642883300781,0.05489933156150011,True,10
2022-11-17,376.2095947265625,0.9785387440541605,2022-12-02,388.3000793457031,0.03213762963150437,True,10
2022-12-05,381.3149108886719,0.889961290705139,2022-12-19,364.30511474609375,-0.04460826381778781,False,10
2022-12-20,364.8036804199219,0.9368466815310619,2022-12-30,366.6155090332031,0.004966585345837718,True,8
2023-10-18,416.9971923828125,0.5436913164065124,2023-11-01,409.6791076660156,-0.017549481988067474,False,10
2023-11-02,417.5303649902344,0.5394062435264244,2023-11-16,436.4023742675781,0.045199130074731565,True,10
2023-11-17,436.9451293945313,0.5580779499624641,2023-12-04,442.6638793945313,0.013088027798649206,True,10
2023-12-05,442.57666015625,0.5560752739410022,2023-12-19,462.1225280761719,0.04416380184400434,True,10
2023-12-20,455.71881103515625,0.5569114544751982,2023-12-29,462.5799560546875,0.01505565461286598,True,7
2024-10-16,572.0485229492188,0.5440019930530151,2024-10-30,569.798828125,-0.003932699297291005,False,10
2024-11-07,585.1242065429688,0.4526522299655793,2024-11-21,583.2182006835938,-0.003257438058555234,False,10
2024-11-29,591.9420166015625,0.4858932797582254,2024-12-13,593.5728149414062,0.002754996763376309,True,10
2024-12-16,596.1073608398438,0.49295290906989114,2024-12-30,579.8091430664062,-0.027341077873078545,False,10
2025-10-20,667.499267578125,0.5587756230570531,2025-11-03,679.4711303710938,0.017935394650553,True,10
2025-11-04,671.4169921875,0.5869753473231948,2025-11-18,656.3427734375,-0.0224513512845239,False,10
2025-11-19,658.8783569335938,0.5519471770547597,2025-12-04,680.51513671875,0.032838807888383795,True,10
2025-12-05,681.8078002929688,0.5778688389204805,2025-12-19,678.7363891601562,-0.004504804919352247,False,10
2025-12-22,682.96484375,0.5677367878516026,2025-12-31,680.062744140625,-0.00424926646800771,False,7
2026-03-23,655.3800048828125,0.6523892873029297,2026-04-07,659.219970703125,0.005859143995397172,True,10
2026-04-08,676.010009765625,0.6514584424558015,2026-04-22,711.2100219726562,0.052070252952667394,True,10
2026-04-23,708.4500122070312,0.6365665477297814,2026-05-07,731.5800170898438,0.03264874653718432,True,10
2026-05-08,737.6199951171875,0.6445350686713015,2026-05-11,739.2999877929688,0.0022775855954316223,True,2
