year,trades,wins,win_rate,total_return,avg_return,train_bars,test_bars
2018,5,2,40.0,-12.04335277678793,-2.46480474651362,755,251
2019,1,1,100.0,2.307403099048466,2.307403099048474,1006,252
2020,1,0,0.0,0.0,0.0,1258,253
2021,5,4,80.0,8.500114918375633,1.669459394758721,1511,252
2022,5,4,80.0,8.311482839032847,1.669480837531816,1763,251
2023,5,4,80.0,10.259342139931139,1.9991426468436724,2014,250
2024,4,1,25.0,-3.166172955346591,-0.794405461638712,2264,251
2025,5,2,40.0,1.878125628443228,0.3913755973410588,2515,250
2026,4,4,100.0,9.527342377177783,2.3213932270170123,2765,89
