,dates,portfolio_value,drawdown,turnover_penalty,circuit_breaker_state,n_trades
0,2015-02-02 00:00:00-05:00,10000.0,0.0,0.0,active,0
1,2015-02-03 00:00:00-05:00,10000.0,0.0,0.0,active,0
2,2015-02-04 00:00:00-05:00,10000.0,0.0,0.0,active,0
3,2015-02-05 00:00:00-05:00,10000.0,0.0,0.0,active,0
4,2015-02-06 00:00:00-05:00,10000.0,0.0,0.0,active,0
5,2015-02-09 00:00:00-05:00,10000.0,0.0,0.0,active,0
6,2015-02-10 00:00:00-05:00,10000.0,0.0,0.0,active,0
7,2015-02-11 00:00:00-05:00,10000.0,0.0,0.0,active,0
8,2015-02-12 00:00:00-05:00,10000.0,0.0,0.0,active,0
9,2015-02-13 00:00:00-05:00,10000.0,0.0,0.0,active,0
10,2015-02-17 00:00:00-05:00,10000.0,0.0,0.0,active,0
11,2015-02-18 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
12,2015-02-19 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
13,2015-02-20 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
14,2015-02-23 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
15,2015-02-24 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
16,2015-02-25 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
17,2015-02-26 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
18,2015-02-27 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
19,2015-03-02 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
20,2015-03-03 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
21,2015-03-04 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
22,2015-03-05 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
23,2015-03-06 00:00:00-05:00,9953.484617936545,0.46515382063455035,0.0,active,1
24,2015-03-09 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
25,2015-03-10 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
